news_title,news_date,news_content
,2 Èbibi 2022,"Laipẹ yii ni iroyin wu aworan eeyan kan ti ẹnikẹni ko wa ni gbogbo igba ti Alaafin Oba Lamidi fi wa lori oye jade. ,Ko fi bẹẹ si ara ita to mọ talo n jẹ Baba Kekere l'Aafin Oyo ati ipo rẹ amọ kete ti Baba Alaafin papoda ti wọn si ṣe isinku rẹ ni okiki orukọ Baba yii bẹrẹ si ni tan nigba ti awọn iroyin kan lọ wu aworan baba ọhun jade pe ki awọn eeyan wa wo baba arugbo kan to ṣi wa laye l'Aafin Oyo toju rẹ si ti ri ọpọlọpọ iṣejọba ninu Aafin ọhun.,Lara iroyin taa gbọ ni pe Baba Kekere ọhun ti ri Alaafin mẹta ọtọọtọ to jẹ.,BBC Yoruba de Aafin Oyo lati gbe iwadii jade lori oriṣiriṣi awuyewuye nipa baba yii ati pe ṣe lootọ ni pe aworan yii tilẹ jẹ ootọ ti Baba ọhun ṣi wa laye?,Morenikeji Lasisi olori gbogbo eru ni afin oba  Oyo ti sin Oba meta. Sugbon Lasisi ni wọn n pe ni Baba Kekere laafin Oyo.,  Nigba ti BBC de ọdọ Baba Kekere, baba agbalagba naa kẹnu bọ ọrọ lori ribiribi ti Alaafin Oba Lamidi ti ṣe.,""Kii ṣe ẹẹmẹta, ẹẹmẹrin ni Kabiyesi ti gbe mi lọ Dokita fun itọju oju mi ti mo ti padanu, ti n gbe mi lọ ti n gbe mi bọ"".,Morenikeji Lasisi ni olori gbogbo ẹru ni ilu Oyo to si ti ba Alaafin mẹta ọtọọtọ ṣiṣẹ.,O sọ fun BBC Yoruba pe oun o le sọ pato iye igba ti oun ti lo tori ko si akọsilẹ laye atijọ.,""Nigba aye Ọba akọkọ, ko si akọsilẹ, ẹlẹẹkeji ko si akọsilẹ, ẹlẹẹkẹta yii ni akọsilẹ wa""."
Antonio Guterres visit Nigeria: Bí àbẹ̀wò sí Naijiria rè yóò ṣe lọ nìyíi,3 Èbibi 2022,"Eyi ni igba ikẹta ti Ọga agba iṣọkan agbaye yio ṣabẹwo si iha Guusu Ilẹ Afrika, igba akọkọ si ni yii ti yoo wa si ilẹ Naijiria.,O wa si Naijiria ni asiko ti ohun gbogbo ko lọ deedee lorilẹede Naijiria paapaa eto oṣelu ati ni agbaye,ogun to n ṣẹlẹ ni Ukraine .,Lasiko abẹwo rẹ si Naijiria, yoo ṣe ipade pẹlu Aarẹ Buhari ati igbakeji rẹ, Yemi Osinbajo.,Bakan naa ni yoo ṣe ipade pẹlu awọn adari ẹsin, awọn obinrin ,awọn olori ọdọ ati awọn olori oṣiṣẹ iṣẹ adani .,Guterres yoo ṣabẹwo si gomina ipinlẹ Borno, Babangana Zulum,ni olu ilu ipinlẹ naa ni Maiduguri.,Nibẹ ni yoo ti ṣabẹwo si awọn mọlẹbi awọn eyan ti ikọ Boko Haram ti ṣe akọlu si nibẹ. ,Akọwe Ajọ Iṣọkan Agbaye yoo tun sabẹwo si awọn agbegbe ti oju ọjọ ti ko ṣe deedee ti ṣakoba fun.,Ipaya ti ohun ṣẹlẹ ni agbaye nitori ogun ilẹ Ukraine ati Russia. Ogun naa ti fa adinku ohun elo 'hydrocarbon' ati ọwọngogo epo (wheat) ni awọn orilẹede kan ni Ilẹ Afrika.,Ipaya ti o de ba awọn eniyan ni ki ọwọngogo ounjẹ ati iyan mase bẹ silẹ. ,Antonio Guterres ninu ọrọ rẹ¸ni 'ogun ti ohun ṣẹlẹ ni Ukraine ti fa ọwọngogo ounjẹ,ina ati owo.' ,Bakanna ni Ọga Ajọ UN naa yoo ṣabẹwo si ilẹ Senegal lati ṣe atuntọ iwe ofin ilẹ wọn. ,Orilẹede mẹta ni ilẹ Afrika ni awọn ologun ti  gbajọba.,Bakanna ni Naijiria,Chad,Niger ati Cameroon ni awọn agbebọn ati agbesunmọmi ti ṣọṣẹ, ti wọn si ti pa ọpọlọpọ awọn eniyan nibẹ.,Ọmọ orilẹede Naijiria,Aminat Ahmed ni igbakeji ọga patapata fun Antonio Guterres ni olu ileeṣẹ wọn ni New York, ni orilẹede Amẹrika."
Amotekun: Akeredolu àti PDP tahùn síra wọn lórì owó oṣù òṣìṣẹ́ l'Ondo,3 Èbibi 2022,"PDP ni o jẹ ohun ti ko ṣee gbọ seti pe ebi n pa awọn oṣiṣẹ ipinlẹ Ondo lasiko ti awọn ẹgbẹ lawọn ipinlẹ mii n gbadun ijọba wọn.,Ninu atẹjade kan loju opo Facebook rẹ ni agbẹnusọ ẹgbẹ oṣelu PDP, Kennedy Peretei ti fi ọrọ naa lede.,Gẹgẹ bii ohun to sọ, awọn oṣiṣẹ ijọba ipinlẹ Ondo wa lara awọn ti oju n pọn julọ ni Naijiria.,O ni igbesẹ naa ko ṣẹyin bi awọn ṣe n kan sara si gomina Rotimi Akeredolu lori iṣẹ takun-takun ti ikọ Amotekun n ṣe l'Ondo lati koju awọn ọdaran Fulani darandaran.,Peretei sọ pe ""Lẹta kan ti wọn tẹ jade nipa iye ti wọn yoo maa yọ ninu owo oṣu awọn oṣiṣẹ to wa ni oniruru ipele fi han pe gomina to wa lori alefa lọwọ yii ko kọbi ara si iya ti awọn eeyan ipinlẹ Ondo n jẹ."",""Ṣe ka sọ pe gomina ko ni owo ti yoo ya sọtọ si ẹka Amotekun ni abi ka kuku sọ pe o kan n wa ọna lati ko owo ilu sapo?"",""Bawo ni gomina ṣe n na owo ti ijọba apapọ fi ranṣẹ si loṣoṣu gẹgẹ bii owo ti wọn la kalẹ fun eto abo? ,""Abi ka kuku sọ pe awọn amugbalẹgbẹ rẹ lo n ṣi lọna lati tọwọ bọ owo oṣu awọn oṣiṣẹ?"",Peretei wa rọ Akeredolu lati tu ero rẹ pa, ko si bojuto bi yoo ṣe maa na owo ipinlẹ Ondo ki awọn oṣiṣẹ rẹ le kuro ninu oṣi.,Ẹwẹ, agbẹnusọ Akeredolu, Richard Olatunde ti sọ pe irọ to jina si ootọ ni atẹjade ẹgbẹ oṣelu PDP lori owo oṣu awọn oṣiṣẹ ọhun.,Ninu atẹjade kan to fi lede loju opo Facebook rẹ, Olatunde ni ẹgbẹ oṣelu PDP kan n mọọmọ parọ fun awọ araalu lati ba orukọ ijọba Akaeredolu jẹ ni.,O ni ""Gẹgẹ bii ọpọ eeyan ṣe mọ, onirọ ni PDP, iṣe wọn si ni lati maa pa irọ fun awọn araalu."",""Ijọba ipinlẹ Ondo ko ni erongba kankan lati yọ lara owo oṣu awọn eeyan ipinlẹ yii."" ,Lẹyin naa lo pe PDP nija lati mu lẹta ti wọn n sọ nipa rẹ jade, ninu eyii ti wọn ti ni ijọba ipinlẹ naa ti sọ pe oun yoo yọ lara owo oṣu awọn oṣiṣẹ."
2023 Presidency: Èsì Ààrẹ Buhari lórí ẹni tó jẹ́ ààyò rẹ̀ tí aráàlú ń bèrè nìyí,3 Èbibi 2022,"Buhari ní òun kò ní ẹnìkan lọ́kàn tí òun fẹ́ kó di Ààrẹ lẹ́yìn òun àyàfi ẹni tí àwọn ọmọ Nàìjíríà bá dìbò fún.,Ó ní ẹni tí àwọn ọmọ Nàìjíríà bá ti yàn níbi ètò ìdìbò gbogbogbò ọdún tó ń bọ̀ gẹ́gẹ́ bí ẹni tí yóò darí wọn fún ọdún mẹ́rin ni òun yóò fa ìṣàkóso orílẹ̀èdè yìí lé lọ́wọ́.,Ní ọjọ́ Ajé, ọjọ́ kejì, oṣù karùn-ún, ọdún 2022 ni Ààrẹ Muhammadu Buhari sọ̀rọ̀ yìí nígbà tó ń dáhùn ìbéèrè lọ́wọ́ àwọn akọ̀ròyìn lẹ́yìn tó kírun yídì tán.,Ní Bárékè Mambilla tó wà ní ìlú Abuja ni Ààrẹ Muhammadu Buhari ti kírun yídì ọdún ìtúnu àwẹ̀. ,Ààrẹ Buhari rọ àwọn ẹ̀ṣọ́ ààbò láti jí gìrì sí iṣẹ́ wọn.,Bákan náà ni Ààrẹ Muhammadu Buhari tún rọ àwọn ẹ̀ṣọ́ ààbò orílẹ̀ èdè yìí láti túnbọ̀ jí gìrì sí ojúṣe wọn, kí wọ́n ri dájú pé ààbò tó péye wà fún tolórí tẹlẹ́mù Nàìjíríà.,Ó rọ̀ wọ́n láti sa gbogbo ipá wọ́n láti ri pé wọ́n gbógunti ìpèníjà ètò ààbò tí orílẹ̀ èdè Nàìjíríà ń kojú lọ́wọ́.,Ó fi kun pé ó pọn dandan kí àyíká wà nínú ààbò tó péye pàápàá lásìkò òjò yìí kì àwọn àgbẹ̀ le padà sóko kí oúnjẹ le pọ̀ yanturu ní Nàìjíríà.,Ààrẹ Buhari sọ síwájú pé gbogbo àwọn olórí ẹ̀ṣọ́ ààbò tó fi mọ́ ti orí ilẹ̀, ojú omi àti ti òfurufú ló mọ ìpèníjà tí Nàìjíríà ń dojú kọ, tó sì ní iṣẹ́ wọn ni láti wá àwọn agbéṣùmọ̀mí náà rí, kí wọ́n sì pá wọ́n tán.,Ṣaájú nínú ọ̀rọ̀ ìkíni kú ọdún tí Ààrẹ Buhari fi léde lọ́jọ́ Àìkú, ọjọ́ kìíní, oṣù karùn-ún ni ó ti tẹmpẹlẹmọ wí pé ìṣèjọba òun ní ìfarajìn sí fífi òpin sí àìsí ètò ààbò tó ń bá Nàìjíríà fínra.,Ó ní bí ó tilẹ̀ jẹ́ pé ìjà náà lè díẹ̀, tó sì ti ń lọ fún ọjọ́ pípẹ́, òun ní ìgbàgbọ́ wí pé dídùn ni ọsàn yóò so nígbẹ̀yìn."
Sunday igboho: Wole Soyinka sàbẹ̀wò si Igboho Òòsà ní Cotonou,2 Èbibi 2022,"Ninu akọjade ti Igboho fi si oju opo Instagram rẹ lo ti ṣalaye bi inu ohun ṣe dun lati gbalejo Soyinka.,'Inu mi dun, ayọ mi si kun lati gbalejọ eniyan nla to jẹ baba fun mi lati ṣabẹwo si mi.'',''Mo gbadura pe agba wọn a dalẹ pẹlu ẹmi gigun.'',Lara awọn eniyan to fesi si ọrọ naa lori ẹrọ ayelujara ki Soyinka fun igbesẹ akin naa to gbe.,Iroyin sọ pe niṣe ni awọn eniyan bo Ọjọgbọn Wole Soyinka witiwiti ni ibode Seme ni Ọjọ Isinmi lasiko to fẹ wọ orilẹede Benin Republic.,Sunday Igboho ṣẹṣẹ jajabọ ni atimọle lẹyin ti ijọba Naijiria fi ẹsun iditẹgbajọba kan an.,Laipẹ yii ni Sunday Igboho fi da awọn ọmọ Yoruba loju pe oun bọ ni ile pada, ti ko si ni pẹ rara.,Agbẹnusọ fun ẹgbẹ Ilana Ọmọ Oodua, Maxwell Adeleye to fi ṣọwọ si BBC Yoruba ninu atẹjade ranpẹ to fi ṣọwọ ipade abẹwo lasan ni laarin awọn akin mẹta to gbe Sunday Igboho jade lẹwọn.,Awọn mẹta to darukọ ọhun ni Ọjọgbọn Wole Soyinka, Wale Adeniran ati Ọjọgbn Banji Akintoye to si ni ipade atilẹkun mri ṣe ni wọn ṣe pẹlu Oloye Sunday Igboho ni ọjọ Kini oṣu Karun dun 2022 ni Cotonou, orilẹede Benin Republic."
Alaafin: Ìjọba ìpínlẹ̀ Oyo ní Alaafin tuntun yóù gorí ìtẹ́ láìpẹ́,1 Èbibi 2022,"Gomina ipinlẹ ọhun, Seyin Makinde lo sọ bẹẹ nibi adura ọjọ kẹjọ, fidau, eyii to waye ni iranti Ọba Lamidi Adeyemi Alaafin to papoda.,Ti ẹ ko ba gbagbe, ọjọ kejilelogun, oṣu Kẹrin, ọdun 2022 yii ni Alaafin dakẹ nile iwosan ẹkọṣẹ iṣegun ti fasiti Afe Babalola, to wa niluu Ado-Ekiti.,Makinde, ti oloye Bayo Lawal, to jẹ kọmiṣọna fun ọrọ ijọba ibilẹ ati oye jijẹ ṣoju fun sọ pe, ijọba ipinlẹ Oyo mọ pe awọn eeyan ilu ọhun ti n reti lati ni Alaafin tuntun.,O ni ""Awọn eeyan ti n reti lati ni Ọba tuntun amọ a ni lati tẹle awọn ilana to yẹ."",""A ṣeleri lati maṣe ṣe magomago kankan pẹlu yiyan Alaafin tuntun, amọ ko ni pẹ, ko si ni jina."" ,Ṣaaju nibi eto adura naa ni Imaamu Masud Ajokidero ati alufaa Eyitayo Sulola ti kọkọ sọ pe ki awọn eeyan ilu Oyo ṣe ara wọn ni oṣuṣu ọwọ bo ṣe wa tẹlẹ lasiko ti Alaafi Adeyemi wa loke eepẹ.,Awọn ojiṣẹ Ọlọrun mejeji ke si awọn afọbajẹ, iyẹn Oyo Mesi, lati tẹle ilana to yẹ lati yan Alaafin tuntun nigba ti asiko ba to, ki wọn ma si ṣe wo ti awọn ti owo wa lọwọ wọn lati fi wọn sori itẹ.,Nigba to n sọrọ, Iyalode ilẹ Yoruba, oloye Alaba Lawson juwe Alaafin to waja gẹgẹ bii baba fun gbogbo ọmọ kaarọ oojire, o si jẹ ẹni to maa n ja fun ẹtọ awọn eeyan rẹ.,O ni ""Alaafin maa n tẹti si ẹbẹ awọn ọmọ Yoruba ni gbogbo igba, o si jẹ ẹni to mọ itan Yoruba daadaa."",""Adura mi ni pe ki Alaafin to n bọ maṣẹ ya kuro ninu awọn ilana to fi lelẹ."" "
,3 Èbibi 2022,"Lorii rogbodiyan to n ṣẹlẹ́ nipa tani ipo Soun tọ si tabi tani ko tọ si ni ilu Ogbomoso ti di tọrọ fọn kalẹ bayii.,Koda, ọrọ ti kuro ni eyi tawọn agba n da si nikan, wọn ti n ki ọrọ ile ẹjọ bọ ọ.,BBC Yoruba ba ọkan lara awọn agba ilu, Ọjọgbọn Amos Adekojo sọrọ ninu eyi to ti ṣalaye iye idile oye to wa ati nkan to n ṣẹlẹ gangan lori ipo Ọba ilu naa.,Bi ẹ ko ba gbagbe, ọkan ninu awọn idile to n du ipo naa ni awọn afọbajẹ yọ ọwọ ọmọ wọn lawo lati le fi dije ipo Soun.,""Latorii Soun to gbesẹ̀ láìpẹ́ yii ni: idile Laoye Orumogege idle Bolanta,  idle Ojo Aburumaku ni awọn idile Oye ti Ọjọgbọn Amos sọ fun wa.,Ẹwẹ, bi idile kan ṣe ti n tukọ soke ti wọn n fi oju gbaa, ni a ni ka kan si awọn ti ọrọ yii kan gangan ni ilu Ogbomoso.,Ọjọgbọn Amos Adekojo ni latigba ti alaye ti daye, ẹni to ba dagba ju ni wọn maa n fi jẹ Soun amọ awọn igbesẹ to n jade yii ti n yatọ.,""Ninu awọn idile ọhun, awọn ọmọ baba yoo ti sọrọ fori-kori bi idile kan ba n jọba lọwọ pe ki awọn gbaradi"".,""Aa gbọpe wọn maa n ta fọọmu fun eeyan lati jẹ Ọba"".,Ẹwẹ, agbalagba miran to tilẹ jẹ ọmọ ile oye naa ba BBC Yoruba sọrọ nipa ẹtọ bo ṣe n lọ lọwọ, nkan ti wọn n foju ri ati ibi to de duro.,""Emi tẹẹ n wo ti mo n baa yin sọrọ yii, mo ẹtọ si oye Soun amọ fun idi pataki kan, mo mọ pe agba ti de, mo gbọdọ fi silẹ fun awọn ọmọ"".,Baba Garuba Olaoye ṣalaye pe agba lo mu ki awọn ni ki awọn ọmọ awọn kuku lọ gba fọọmu to ba ti wu kii ṣe pe awọn fẹ fi fọọmu pa owo fi jẹun.,Gbogbo ọrọ ija to wa nilẹ ni awọn agbaagba ti BBC bna sọrọ yii ṣalaye lẹkunrẹrẹ.,Baba Garuba wa ke si Gomina Seyi Makinde lati wa ran awọn lọwọ gẹgẹ bo ṣe da si ọrọ ti Olubadan."
"Portable: Ẹ̀yin tẹ́ẹ ní mo máa sá bí ẹsẹ̀ mi bá tẹ London, ojú yín ti jáa",1 Èbibi 2022,"Lọwọlọwọ, Portable ti balẹ si UK eyi to si jẹ igba akọkọ rẹ.,Bi ẹ ko ba gbagba, oun ni ọdọkunrin olorin atapatadide kan ti irawọ dede burẹkẹ to bẹrẹ si ni tan kaakiri agbara lẹyin orin rẹ to kọ ""Zazu Zeh"" ati ọpọlọpọ ọrọ̀ inu orin naa ti awọn eeyan agbaye gba tiẹ gidi.,Bo tilẹ jẹ pe ọpọ eniya lori ayelujara lo n bu ẹnu atẹ lu iru ihuwasi olorin yii pe ko ṣe bii eeyan gidi pẹlu igbo mimu, ọti mimu ti oju yoo ti lẹri ni ọpọlọpọ igba to ba jade lati sọrọ tabi kọrin ti wọn si tun n ni ẹni to baa gun ọṣẹ oogun to lo ṣe iṣẹ nla gan, awọn to jẹ tirẹ to si n gbadun ihuwasi ati iṣẹ rẹ ni keeta lasan ni awọn ti ko fẹran rẹ n ṣe ati pe ogo rẹ to bu jade lo n bi wọn ninu.,Awọn iwe iroyin abẹle kan royin ni ọjọ diẹ sẹyin pe oniṣowo nla kan Emeka Okonkwo ti awọn eeyan n pe ni E-Money lo sanwo ibẹwo Portable lọ si UK.,Bo ṣe wa nibẹ lọhun ni gbajumọ olorin yii ti bọ si oju opo Instagram rẹ pẹlu fidio to fi sita eyi ti ọrọ inu rẹ ati akọle ori rẹ jọ pe o n ta ọrọ ba awọn kan to jẹ ọta rẹ ni.,""Wọn ni mo maa sa bi wọn ba gbe mi lọ si ilu London, mo ti wa ni London bayii o, mo n jaye ori mi mo n ṣe 'Bizza' ni London, wọn ti sanwo baalu mi o"".,Portable ninu fidio mii to tun fi sita lo ti jẹ ko di mimọ faraye pe Pasitọ kan to n gbe ni UK amọ to jẹ ọmọ orilẹede Naijiria, Pasitọ Tobi Adegboyega tun ti fun oun ni ẹbun owo 1.8 miliọnu.,Pasitọ ọhun ni oludasilẹ ijọ Salvation Proclaimers Anointed Church to wa ni London, England to si gbalejo olorin Portable.,""Mo wọ London bayii, owo ti fẹ ṣe mi léṣe o, mo wa nibi pẹlu Pasitọ Tobi,"" Portable sọ eyi ninu fidio bo ṣe n gba yiin ninu ọla ati to n fi owo gọbọi rẹ ṣe faari"".,Olorin ""Zazu Zeh"" naa fi atẹjade to fi dupẹ lọwọ E-Money ati Pasitọ Tobi sita to si n rọjo adura le alaanu rẹ yii lori."
Soludo: Agbẹnusọ gómìnà pàdánù ẹ̀mí rẹ̀ léyìn tó gba iṣẹ́ ìjọba,1 Èbibi 2022,"Anatune lo jẹ adari ẹka to n risi ọrọ iroyin nipa gomina naa saaju idibo sipọ rẹ ni ọdun to kọja.,Anatune lo dagbere fun aye ni Ọjọ Satide lẹyin ọjọ diẹ to ṣe ayẹyẹ ọjọ ibi rẹ to ti pe ẹni ọdun mejilelọgọta.,Ọṣẹ kan ṣẹyin ni gomina Soludo yan an si ipo lẹyin to ṣiṣẹ takuntakun lasiko idibo to gbe gomina naa wọle.,Gomina Charles Soludo yan an gẹgẹ bi ọga agba ileeṣẹ ijọba to n risi ọrọ ipolongo ni ipinlẹ naa.,Ninu ọrọ ibanikẹdun rẹ, gomina fi aidunnu rẹ han ati pe iroyin iku rẹ ba oun lojiji.,O ṣapejuwe Joe Anatune gẹgẹ bi ọkan gboogi lara awọn eniyan to duro ti oun, ti o si gbagbọ ninu ipe ọun pẹlu akitiyan lati ri pe oun ṣe aṣeyọri.,''Ifarajin Joe lasiko idibo naa kọja afẹnusọ, ti o si jẹ moriya fun mi.'',''Fun ọdun meji lo fi ko ajọ Soludo Promoters Forum jọ, ki o to wa fi ọrọ oṣelu lọ wọn paapaa idibo si ipo mi.'',''Ijọba ati gbogbo eniyan ipinlẹ Anambra lo n ṣe idaro rẹ, ti wọn yoo si mọ ni ara bi o ṣe papoda.'',Bakan naa lo ba iyawo ati mọlẹbi kẹdun iku naa ati ilu Awa nibi ti arakunrin naa ti ṣẹwa."
