headline,co_headline,period
"Florence Babaṣọla, Oṣogbo Gomina ipinlẹ Ọṣun tẹlẹ, Ọgbẹni Rauf Adesọji Arẹgbẹṣọla, ti sọ pe aṣiṣe nla…",,
,,Ìròyìn
,,
,,
"Florence Babaṣọla, Oṣogbo Bonkẹlẹ ni Oluwoo, Ọba Abdulrosheed Adewale Akanbi, kọ lẹta naa, titi di ba a…",,
,,Ìròyìn
,,
,,"February 11, 2022"
,,
,,
,,"February 17, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Pẹlu bi igbaradi ṣe ti bẹrẹ ninu awọn ẹgbẹ oṣelu to wa nipinlẹ…",,
,,Ìròyìn
,,"February 10, 2022"
,,
,,
"Adefunkẹ Adebiyi, Abẹokuta  Oṣu meje gbako ni Adebọwale Babatunde Ismail, ẹni ọdun mẹrinlelogun, to jẹ akẹkọọ nileewe…",,
,,Ìròyìn
,,
,,
,,"February 17, 2022"
,,
,,
"Faith Adebọla Bi ko ba tun si ayipada ojiji mi-in, o jọ pe agbegbe Aarin-Gbungbun Ariwa…",,
,,Ìròyìn
,,
,,Ìròyìn
,,
,,"February 16, 2022"
,,
"Ibrahim Alagunmu, Ilọrin Orin ọpẹ lo gbẹnu awọn arakunrin meji kan, Samuel Faremi ati Emmanuel Adeyẹmi, ti…",,
,,Ìròyìn
,,
,,"February 11, 2022"
,,
,,"February 17, 2022"
,,
,,
"Ọlawale Ajao, Ibadan Gomina ipinlẹ Ọyọ, Ẹnjinia Ṣeyi Makinde, ti pinnu lati ṣepade pẹlu awọn tọọgi…",,
,,Ìròyìn
,,
,,"February 9, 2022"
,,
,,
"Florence Babaṣọla, Ọṣogbo Awọn alakooso ileewe gbogboniṣe ilu Iree ti kilọ fawọn akẹkọọ wọn lati pa…",,
,,Ìròyìn
,,
,,"February 17, 2022"
,,
,,
"Ibrahim Alagunmu, Ilọrin L’Ọjọbọ, Tọsidee, ọṣẹ yii, lọwọ ajọ ẹsọ alaabo ṣifu difẹnsi, ẹka ti ipinlẹ…",,
,,Ìròyìn
,,
,,
"Florence Babaṣọla, Oṣogbo Igun ẹgbẹ oṣelu APC nipinlẹ Ọṣun, ‘The Osun Progressives’ (TOP), ti fẹsun kan…",,
,,Ìròyìn
,,
,,"February 16, 2022"
,,Ìròyìn
,,
,,"February 8, 2022"
,,
,,
,,
"Oniwaasu agba fun ijọ kan ti wọn n pe ni Trinity House, Lagos, Pastor Ituah Ighodalo,…",,
,,Ìròyìn
,,
,,"February 17, 2022"
,,
,,
